medicine
paracetamol
acetaminophen
ibuprofen
aspirin
azithromycin
amoxicillin
cetirizine
metformin
omeprazole
pantoprazole
doxycycline
ciprofloxacin
diclofenac
naproxen
insulin
atorvastatin
amlodipine
losartan
